metric,value
train,0.9064908273778824
test,0.565015479876161
accuracy,0.6538461538461539
f1-macro,0.565015479876161
precision-macro,0.5821548821548821
recall-macro,0.5821548821548821
f1-micro,0.6538461538461539
precision-micro,0.6538461538461539
recall-micro,0.6538461538461539
f1-weighted,0.6726899261728984
precision-weighted,0.6943084693084693
recall-weighted,0.6943084693084693
best_paramns,"{'ccp_alpha': 0.02, 'criterion': 'entropy'}"
