metric,value
train,1.0
test,0.7753036437246964
accuracy,0.8269230769230769
f1-macro,0.5982456140350877
precision-macro,0.5764227642276423
recall-macro,0.5764227642276423
f1-micro,0.8269230769230769
precision-micro,0.8269230769230769
recall-micro,0.8269230769230769
f1-weighted,0.7753036437246964
precision-weighted,0.7312382739212008
recall-weighted,0.7312382739212008
best_paramns,"{'criterion': 'entropy', 'max_features': 6, 'n_estimators': 100}"
